TV Show, Seasons, Episodes, Genre, First Released, Last Released, Network
Arcane, 2, 18, Action, 2021, 2024, Netflix
Attack on Titan, 4, 94, Fantasy, 2013, 2023, MBS
Breaking Bad, 5, 62, Crime Drama, 2008, 2013, AMC
Dark, 3, 26, Science Fiction, 2017, 2020, Netflix
Demon Slayer, 4, 63, Adventure, 2019, 2024, FujiTV
Friends, 10, 236, Sitcom, 1994, 2004, NBC
Game of Thrones, 8, 73, Fantasy, 2011, 2019, HBO
House of the Dragon, 2, 18, Fantasy, 2022, present, HBO
Invincible, 3, 24, Superhero, 2021, present, AmazonPrime
Lost, 6, 121, Adventure, 2004, 2010, ABC
Money Heist, 3, 41, Heist, 2017, 2021, Netflix
Peaky Blinders, 6, 36, Historical Drama, 2013, 2022, Netflix
Severance, 2, 10, Science Fiction, 2022, present, AppleTV
Sherlock, 3, 13, Detective, 2010, 2017, BBC
Shogun, 1, 10, Historical, 2024, present, FX
Squid Game, 3, 22, Survival, 2021, 2025, Netflix
Stranger Things, 5, 42, Science Fiction, 2016, 2025, Netflix
The Boys, 5, 40, Superhero, 2019, 2026, AmazonPrime
The Last of Us, 2, 16, Post-Apocalypse, 2023, present, HBO
The Lord of the Rings: Rings of Power, 2, 16, Fantasy, 2022, present, AmazonPrime
The Mandalorian, 3, 24, Space, 2019, 2022, Disney+
Wednesday, 2, 16, Horror, 2022, 2025, Netflix
Vikings, 6, 89, Historical, 2013, 2021, History
